,transID,result
0,ENST00000623234.1,0.057184999620658344
1,ENST00000567594.1,0.01761999984853901
2,ENST00000447623.1,0.8764450004638639
3,ENST00000454348.1,0.8332000001997222
4,ENST00000436772.1,0.7457650005217874
5,ENST00000453136.4,0.8308649996737949
6,ENST00000422665.1,0.8162350003875326
7,ENST00000430312.1,0.8308649996737949
8,ENST00000562077.4,0.9375550004921388
9,ENST00000570278.1,0.6546399983996526
10,ENST00000414227.1,0.8163450016989373
11,ENST00000415237.1,0.9206999990949407
12,ENST00000397057.5,0.9897849999368191
13,ENST00000456746.4,0.9897849999368191
14,ENST00000430416.4,0.9506800004083198
15,ENST00000627798.1,0.6916950008185814
16,ENST00000625449.1,0.6916950008185814
17,ENST00000443132.1,0.5836200006637955
18,ENST00000447413.1,0.9897849999368191
19,ENST00000611493.1,0.451935000763624
20,ENST00000526648.2,0.08698999988555442
21,ENST00000453011.4,0.9999700000882149
22,ENST00000446527.4,0.9999700000882149
23,ENST00000416329.4,0.9999700000882149
24,ENST00000454721.4,0.9368100008560577
25,ENST00000449473.2,0.9368100008560577
26,ENST00000451213.1,0.6459600009769201
27,ENST00000469148.1,0.6765300009050407
28,ENST00000474795.4,0.9996149998903274
29,ENST00000462497.4,0.9996149998903274
30,ENST00000475371.4,0.9996149998903274
31,ENST00000479018.4,0.9996149998903274
32,ENST00000495542.4,1.0
33,ENST00000466893.4,0.9996149998903274
34,ENST00000490916.4,1.0
35,ENST00000498655.4,0.9996149998903274
36,ENST00000479588.1,0.9996149998903274
37,ENST00000513011.2,0.5482500005082693
38,ENST00000504922.4,0.999995000064373
39,ENST00000501869.5,0.999995000064373
40,ENST00000504769.4,0.9742450013756752
41,ENST00000501715.5,0.999995000064373
42,ENST00000496733.5,0.5384900003479561
43,ENST00000510087.4,0.999995000064373
44,ENST00000504636.1,0.14288999994110782
45,ENST00000506584.4,0.9742450013756752
46,ENST00000512724.4,0.9742450013756752
47,ENST00000507736.1,0.9742450013756752
48,ENST00000508015.1,0.9999849998950958
